INFO  - 2019-02-04 09:19:15.148; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:4
INFO  - 2019-02-04 09:19:15.149; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:1
INFO  - 2019-02-04 09:19:15.149; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:5
INFO  - 2019-02-04 09:19:15.149; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:1
INFO  - 2019-02-04 09:19:15.150; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:6
INFO  - 2019-02-04 09:19:15.150; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:1
INFO  - 2019-02-04 09:19:15.151; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:7
INFO  - 2019-02-04 09:19:15.151; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:1
INFO  - 2019-02-04 09:19:15.151; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:8
INFO  - 2019-02-04 09:19:15.151; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:1
INFO  - 2019-02-04 09:19:15.152; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:9
INFO  - 2019-02-04 09:19:15.152; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:1
INFO  - 2019-02-04 09:19:15.152; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:10
INFO  - 2019-02-04 09:19:15.153; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:2
INFO  - 2019-02-04 09:19:15.153; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:10
INFO  - 2019-02-04 09:19:15.153; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.154; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:3
INFO  - 2019-02-04 09:19:15.154; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.156; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:1
INFO  - 2019-02-04 09:19:15.156; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:2
INFO  - 2019-02-04 09:19:15.157; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:1
INFO  - 2019-02-04 09:19:15.157; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:2
INFO  - 2019-02-04 09:19:15.157; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:2
INFO  - 2019-02-04 09:19:15.158; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:1
INFO  - 2019-02-04 09:19:15.158; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:2
INFO  - 2019-02-04 09:19:15.158; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:1
INFO  - 2019-02-04 09:19:15.159; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:2
INFO  - 2019-02-04 09:19:15.159; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:1
ERROR - 2019-02-04 09:19:15.159; com.oracle.bowling.game.BowlingGameImpl; Invalid Number of Pins or Negative Pins entered
INFO  - 2019-02-04 09:19:15.161; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:1
INFO  - 2019-02-04 09:19:15.162; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:1
INFO  - 2019-02-04 09:19:15.163; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:2
INFO  - 2019-02-04 09:19:15.163; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:2
INFO  - 2019-02-04 09:19:15.163; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:1
INFO  - 2019-02-04 09:19:15.164; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:3
INFO  - 2019-02-04 09:19:15.164; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:1
